"scenario_id","abs_bias_new","mse_new","rmse_new","abs_bias_ref","mse_ref","rmse_ref","method_new","method_ref","abs_bias_reduction","mse_reduction","rel_mse","block"
104,0.00497823810237417,0.0370555565391597,0.192498198794585,0.0399667608836362,0.0116225238846548,0.107807809942763,"ipcw_x","ipcw_marg",0.034988522781262,-0.0254330326545049,3.1882538514792,"B_covariate_dependent"
104,0.0242949947616846,0.00929462899078383,0.0964086562025622,0.0399402828906457,0.0116202669037995,0.107797341821584,"scap_x_l050","trad",0.0156452881289611,0.00232563791301568,0.799863640631588,"B_covariate_dependent"
104,0.0242949947616846,0.00929462899078383,0.0964086562025622,0.0251034058318233,0.00935421064702209,0.0967171683157757,"scap_x_l050","scap_marg_l050",0.000808411070138723,5.95816562382629e-05,0.993630498768249,"B_covariate_dependent"
105,0.00143642025451754,0.00194655205477192,0.0441197467668607,0.000349673731101598,0.00161005138603646,0.0401254456179176,"ipcw_x","ipcw_marg",-0.00108674652341595,-0.000336500668735452,1.20899995593546,"B_covariate_dependent"
105,0.0139178591401038,0.00167496820825706,0.0409263754595622,0.000442300694280533,0.00160981364634615,0.0401224830530982,"scap_x_l050","trad",-0.0134755584458233,-6.51545619109028e-05,1.0404733566887,"B_covariate_dependent"
105,0.0139178591401038,0.00167496820825706,0.0409263754595622,0.0132639683377139,0.00167279933811175,0.0408998696588602,"scap_x_l050","scap_marg_l050",-0.00065389080238991,-2.16887014530443e-06,1.00129655129333,"B_covariate_dependent"
105,0.00956260940605591,0.00162192547701272,0.0402731359222587,0.0296762743483583,0.00229477329603543,0.0479037920840869,"ps_x_spline","ps_marg_logit",0.0201136649423024,0.000672847819022708,0.706791158767119,"B_covariate_dependent"
106,0.0096554211378254,0.0016524368324755,0.0406501762908293,0.00223695041984146,0.00164409489374365,0.0405474400393373,"scap_x_l050","trad",-0.00741847071798394,-8.34193873184533e-06,1.00507387910734,"B_covariate_dependent"
106,0.00565851435448907,0.00165023528137405,0.0406230880334577,0.0233555781127772,0.00203290397529282,0.045087736417931,"ps_x_spline","ps_marg_logit",0.0176970637582881,0.000382668693918774,0.811762533513835,"B_covariate_dependent"
106,0.0096554211378254,0.0016524368324755,0.0406501762908293,0.00938058686385696,0.00164467091533134,0.0405545424746889,"scap_x_l050","scap_marg_l050",-0.000274834273968436,-7.76591714415323e-06,1.0047218668925,"B_covariate_dependent"
106,0.000489254166615631,0.00227014780490644,0.0476460680949272,0.00233830065824487,0.00164474641336172,0.0405554732848936,"ipcw_x","ipcw_marg",0.00184904649162923,-0.000625401391544726,1.3802418333088,"B_covariate_dependent"
107,0.00141246372594738,0.00165354798165577,0.0406638412063564,0.0131269007860762,0.00190713454542898,0.0436707516013748,"scap_x_l050","trad",0.0117144370601288,0.000253586563773209,0.867032682942582,"B_covariate_dependent"
107,0.00467174656757455,0.00173523388713445,0.0416561386488769,0.010533572238807,0.0017967053218702,0.0423875609332526,"ps_x_spline","ps_marg_logit",0.00586182567123245,6.14714347357431e-05,0.965786579475505,"B_covariate_dependent"
107,0.0125586311312338,0.00503487444982471,0.0709568492100989,0.0132146877080375,0.00191003723984907,0.0437039728153982,"ipcw_x","ipcw_marg",0.000656056576803709,-0.00312483720997564,2.63600852631678,"B_covariate_dependent"
107,0.00141246372594738,0.00165354798165577,0.0406638412063564,0.00241946842071086,0.00166859649583056,0.040848457692189,"scap_x_l050","scap_marg_l050",0.00100700469476348,1.50485141747884e-05,0.990981334185712,"B_covariate_dependent"
108,0.0357224648240758,0.00327739127784222,0.0572485045904451,0.0443730125887531,0.00404900253084026,0.0636317729663433,"scap_x_l050","trad",0.00865054776467734,0.000771611252998044,0.809431768164907,"B_covariate_dependent"
108,0.0379025048175615,0.00352268530499451,0.0593522139856174,0.0267669658915211,0.00272021341011266,0.0521556651775496,"ps_x_spline","ps_marg_logit",-0.0111355389260404,-0.000802471894881852,1.29500328610196,"B_covariate_dependent"
108,0.0357224648240758,0.00327739127784222,0.0572485045904451,0.0362853432557599,0.0033161996249542,0.0575864534847754,"scap_x_l050","scap_marg_l050",0.000562878431684101,3.88083471119811e-05,0.988297342892162,"B_covariate_dependent"
108,0.0354219880324541,0.00876921986944272,0.0936441128392101,0.0444413337521149,0.00405580023443744,0.0636851649478702,"ipcw_x","ipcw_marg",0.00901934571966079,-0.00471341963500528,2.16214294653471,"B_covariate_dependent"
109,0.0161869039422641,0.00240831521177512,0.0490745882486559,0.0142611264967266,0.00236647874394379,0.0486464669214917,"scap_x_l050","scap_marg_l050",-0.00192577744553755,-4.18364678313296e-05,1.01767878453943,"B_covariate_dependent"
109,0.00793383375757222,0.00242704390242397,0.049265037322872,0.0328034552861274,0.00314991986782413,0.0561241469229077,"ps_x_spline","ps_marg_logit",0.0248696215285552,0.000722875965400155,0.770509728585732,"B_covariate_dependent"
109,0.0161869039422641,0.00240831521177512,0.0490745882486559,0.00359155328892956,0.00246983631480738,0.0496974477695523,"scap_x_l050","trad",-0.0125953506533346,6.1521103032263e-05,0.975091020136263,"B_covariate_dependent"
109,0.00170579175114074,0.00570369282235087,0.0755227967063646,0.00362699642561105,0.00246998700144717,0.049698963786453,"ipcw_x","ipcw_marg",0.00192120467447031,-0.00323370582090371,2.30919952979877,"B_covariate_dependent"
110,0.00794808323674291,0.0024718629060285,0.0497178328774344,0.00785046090194827,0.00242749060259654,0.0492695707571777,"ps_x_spline","ps_marg_logit",-9.76223347946368e-05,-4.43723034319627e-05,1.01827908350479,"B_covariate_dependent"
110,0.00787726280524402,0.00720614637620021,0.0848890238853069,0.0242437418915664,0.00320534993183229,0.056615809910592,"ipcw_x","ipcw_marg",0.0163664790863224,-0.00400079644436792,2.24816214436872,"B_covariate_dependent"
110,0.00607206894515709,0.00242579087774363,0.0492523185011998,0.00772717822366507,0.0024569945646705,0.0495680800986935,"scap_x_l050","scap_marg_l050",0.00165510927850798,3.12036869268683e-05,0.987300058626278,"B_covariate_dependent"
110,0.00607206894515709,0.00242579087774363,0.0492523185011998,0.0242106332988242,0.00320371403877497,0.0566013607502061,"scap_x_l050","trad",0.0181385643536672,0.00077792316103134,0.757180837110918,"B_covariate_dependent"
111,0.00252810900208844,0.00273413362139222,0.0522889435865004,0.0170550309888105,0.00270442623791604,0.0520040982800014,"ps_x_spline","ps_marg_logit",0.0145269219867221,-2.97073834761821e-05,1.01098472683769,"B_covariate_dependent"
111,0.00460327032640953,0.013994324858778,0.118297611382386,0.0150303350021176,0.00300976452221784,0.0548613208209376,"ipcw_x","ipcw_marg",0.0104270646757081,-0.0109845603365601,4.64964111161288,"B_covariate_dependent"
111,0.00175636545421783,0.00249366764895301,0.049936636339996,0.0150020933997938,0.00300898188053398,0.0548541874475776,"scap_x_l050","trad",0.0132457279455759,0.000515314231580978,0.828741331107807,"B_covariate_dependent"
111,0.00175636545421783,0.00249366764895301,0.049936636339996,0.000254920655679704,0.00252573169557052,0.0502566582212797,"scap_x_l050","scap_marg_l050",-0.00150144479853813,3.2064046617515e-05,0.987305046425261,"B_covariate_dependent"
112,0.0282021862457979,0.00370952827193161,0.0609058968568037,0.0431135630775366,0.00500371687876161,0.0707369555378347,"scap_x_l050","trad",0.0149113768317387,0.00129418860683,0.741354549390432,"B_covariate_dependent"
112,0.0301184876797227,0.00409165079724438,0.0639660128290358,0.0125150324874361,0.00300455029060362,0.0548137782916269,"ps_x_spline","ps_marg_logit",-0.0176034551922866,-0.00108710050664075,1.36181804313295,"B_covariate_dependent"
112,0.0282021862457979,0.00370952827193161,0.0609058968568037,0.0294127504090239,0.00378271331231217,0.0615037666514187,"scap_x_l050","scap_marg_l050",0.00121056416322596,7.31850403805586e-05,0.980652765795824,"B_covariate_dependent"
112,0.0540384143316386,0.0177435577317874,0.133204946348803,0.043132687240485,0.00500550608132255,0.0707496012803079,"ipcw_x","ipcw_marg",-0.0109057270911536,-0.0127380516504649,3.54480794619257,"B_covariate_dependent"
