"scenario_id","block","scenario_group","n","x_type","cov_effect","censor_x_effect","target_censor2","H_quantile","H","tau_design","tau_full","tau_H_true","method","n_rep_total","n_rep_valid","fail_rate","mean_tau","sd_tau","mcse_mean_tau","median_tau","q025_tau","q975_tau","bias","abs_bias","mse","rmse","mean_M_hat","sd_M_hat","mean_sum_omega","mean_censor1_rate","mean_censor2_rate","mean_n_d1","mean_n_d2","mean_n_in_H_observed","mean_logloss","mean_brier","mean_cal_intercept","mean_cal_slope","mean_ece","mean_mhat","mean_d2_given_d1","mean_alpha_constant","mean_alpha_logit","mean_alpha_logit_int","mean_alpha_spline","mean_alpha_rf","mean_alpha_gbm","rank_mse","best_by_mse","mse_trad","rmse_trad","abs_bias_trad","rel_mse_vs_trad","rel_rmse_vs_trad","abs_bias_reduction_vs_trad"
89,"B_covariate_dependent","covariate_dependent_censoring",500,"binary","moderate","moderate",0.3,0.9,4.35496990786002,0,0,-0.0725302361737593,"scap_x_l100",1000,1000,0,-0.071326975288606,0.0347785921105536,0.00109979564883312,-0.0711542687975578,-0.137394455653153,-0.0013398671052248,0.00120326088515331,0.00120326088515331,0.00120978875548081,0.034782017702842,0.900021976356991,0.0158164251610556,0.998366427917668,0.162498,0.30005,418.751,349.975,395.835,0.440126914316305,0.135468883563986,2.47972273241921e-13,0.99999999999986,0.0426417414211114,0.835749556118609,0.835749556227852,0.517360297731222,0.269994289456533,0.0919911272769127,0.0515294016001198,0.0303597286852237,0.0387651552499887,3,FALSE,0.00141098872956214,0.037563129922334,0.00123259021028416,0.857404974351732,0.925961648423806,2.93293251308476e-05
89,"B_covariate_dependent","covariate_dependent_censoring",500,"binary","moderate","moderate",0.3,0.9,4.35496990786002,0,0,-0.0725302361737593,"ps_x_logit",1000,1000,0,-0.0718184758785616,0.034663413877506,0.00109615339330008,-0.0720993041758459,-0.138091242746247,-0.00296442331535578,0.000711760295197658,0.000711760295197658,0.00120085731209946,0.0346533881763307,0.900259395924216,0.0159489706187801,0.998242668737634,0.162498,0.30005,418.751,349.975,395.835,0.447856709150399,0.137545339719193,1.41571866420163,0.132144649412654,0.0556514653284205,0.835667277529871,0.835749556227852,NA,NA,NA,NA,NA,NA,2,FALSE,0.00141098872956214,0.037563129922334,0.00123259021028416,0.851075056051018,0.922537292498801,0.0005208299150865
89,"B_covariate_dependent","covariate_dependent_censoring",500,"binary","moderate","moderate",0.3,0.9,4.35496990786002,0,0,-0.0725302361737593,"trad",1000,1000,0,-0.0712976459634751,0.0375616870130579,0.0011878048371963,-0.070840842057961,-0.139415784832338,0.00417058576190299,0.00123259021028416,0.00123259021028416,0.00141098872956214,0.037563129922334,0.900238552805423,0.0165036094943873,0.998677541379303,0.162498,0.30005,418.751,349.975,395.835,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,FALSE,0.00141098872956214,0.037563129922334,0.00123259021028416,1,1,0
90,"B_covariate_dependent","covariate_dependent_censoring",500,"binary","strong","strong",0.3,0.9,4.5029357651364,0,0,-0.0843776770379486,"scap_marg_l050",1000,1000,0,-0.0853543380113121,0.0363160455074868,0.00114841419413984,-0.085066593514101,-0.15630293287362,-0.0146877345702203,-0.000976660973363484,0.000976660973363484,0.00131849017279744,0.0363110199911465,0.89779687853717,0.017239141531193,0.998861932956716,0.175866,0.301734,412.067,349.133,388.554,0.422412291372982,0.128123558012653,-2.32842383157446e-08,1.00000001397514,0.0386397735942482,0.847257987568644,0.847257987712593,0.630848905236946,0.201000691426563,NA,0.0916807416253955,0.0330796796024975,0.0433899821085979,5,FALSE,0.00146062615261973,0.0382181390522842,0.00110002875277986,0.902688323382842,0.950099112399776,0.00012336777941638
90,"B_covariate_dependent","covariate_dependent_censoring",500,"binary","strong","strong",0.3,0.9,4.5029357651364,0,0,-0.0843776770379486,"scap_x_nocf_l050",1000,1000,0,-0.0854052674472927,0.0387262721057268,0.00122463225141542,-0.0856757289533335,-0.16156747898979,-0.00929506286276979,-0.00102759040934405,0.00102759040934405,0.00149928036910496,0.0387205419526246,0.897472572519361,0.0179461770226062,0.998379750699501,0.175866,0.301734,412.067,349.133,388.554,0.0453046987737663,0.0106126690846428,0.294608770645952,1.42089184572538,0.0110800100839622,0.840076504664218,0.847257987712593,2.29891389169277e-18,3.35186493024793e-18,3.52966446671228e-18,3.7655128286454e-18,1,3.08845948716686e-17,12,FALSE,0.00146062615261973,0.0382181390522842,0.00110002875277986,1.02646414102328,1.01314566624118,7.2438343435814e-05
90,"B_covariate_dependent","covariate_dependent_censoring",500,"binary","strong","strong",0.3,0.9,4.5029357651364,0,0,-0.0843776770379486,"ipcw_marg",1000,1000,0,-0.0854640922704387,0.0382224636473762,0.00120870042908696,-0.0866334423494155,-0.159917136969355,-0.00976636551596427,-0.0010864152324901,0.0010864152324901,0.0014606760686051,0.0382187920872063,0.89819594233473,0.0177380053668525,0.89819594233473,0.175866,0.301734,412.067,349.133,388.554,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,FALSE,0.00146062615261973,0.0382181390522842,0.00110002875277986,1.00003417437466,1.00001708704134,1.36135202897603e-05
90,"B_covariate_dependent","covariate_dependent_censoring",500,"binary","strong","strong",0.3,0.9,4.5029357651364,0,0,-0.0843776770379486,"scap_x_l050",1000,1000,0,-0.0854032425056533,0.0365249829437548,0.00115502137601067,-0.0861145213405258,-0.156978855945749,-0.0143621561866696,-0.00102556546770473,0.00102556546770473,0.00133379208919108,0.0365211184000584,0.897987586977185,0.0172978469486112,0.998811000288968,0.175866,0.301734,412.067,349.133,388.554,0.417595397989752,0.126841170427207,8.36894022007552e-15,0.999999999999996,0.0447366824134865,0.847257987488738,0.847257987712593,0.34814275772869,0.401596069065435,0.0958425135433344,0.0697613457209039,0.0348331069486804,0.0498242069929563,6,FALSE,0.00146062615261973,0.0382181390522842,0.00110002875277986,0.913164595060026,0.955596460363906,7.44632850751337e-05
90,"B_covariate_dependent","covariate_dependent_censoring",500,"binary","strong","strong",0.3,0.9,4.5029357651364,0,0,-0.0843776770379486,"ipcw_x",1000,1000,0,-0.0857667849826288,0.0405919383936224,0.00128362979965083,-0.0852960159366852,-0.164853454613624,-1.35640979292706e-05,-0.00138910794468017,0.00138910794468017,0.00164798737797106,0.0405954107993879,0.903956450543377,0.0201186289097579,0.903956450543377,0.175866,0.301734,412.067,349.133,388.554,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,FALSE,0.00146062615261973,0.0382181390522842,0.00110002875277986,1.12827459306769,1.06220270808716,-0.000289079191900306
90,"B_covariate_dependent","covariate_dependent_censoring",500,"binary","strong","strong",0.3,0.9,4.5029357651364,0,0,-0.0843776770379486,"ps_marg_logit",1000,1000,0,-0.0857152047782808,0.0357077795305219,0.00112917913503587,-0.085847113225407,-0.153274243160337,-0.0170478235783513,-0.00133752774033221,0.00133752774033221,0.00127555945393752,0.0357149752056125,0.897950392976241,0.0173371803975416,0.998906184384519,0.175866,0.301734,412.067,349.133,388.554,0.431131339864836,0.130298985754284,2.63623163498598,-0.522673694975627,0.0527848947865366,0.847229082630922,0.847257987712593,NA,NA,NA,NA,NA,NA,1,TRUE,0.00146062615261973,0.0382181390522842,0.00110002875277986,0.873296326818272,0.934503251368486,-0.000237498987552351
90,"B_covariate_dependent","covariate_dependent_censoring",500,"binary","strong","strong",0.3,0.9,4.5029357651364,0,0,-0.0843776770379486,"scap_x_l025",1000,1000,0,-0.0854402057961497,0.0372386703958276,0.00117759015487099,-0.0861871159708572,-0.157652516128078,-0.0108919843977332,-0.00106252875820108,0.00106252875820108,0.00138646082163824,0.0372352094345962,0.898083666314015,0.0174866179565866,0.998919497082551,0.175866,0.301734,412.067,349.133,388.554,0.417573689719617,0.126843602280616,1.8290915700631e-13,0.999999999999908,0.0443624321582026,0.847257987452249,0.847257987712593,0.35764539803034,0.395126351076416,0.0973861785715455,0.0674976846080162,0.0349638464773178,0.0473805412363647,8,FALSE,0.00146062615261973,0.0382181390522842,0.00110002875277986,0.949223604651694,0.974281070662719,3.74999945787879e-05
