"scenario_id","block","scenario_group","n","n_rep","copula_family","tau_design","copula_param","tau_full","margin","x_type","cov_effect","censor_x_effect","censor_model","target_censor2","H_quantile","total_scenarios"
107,"B_covariate_dependent","covariate_dependent_censoring",300,1000,"gaussian",0.5,0.707106781186547,0.5,"exp","normal","moderate","moderate","exp",0.3,0.9,192
108,"B_covariate_dependent","covariate_dependent_censoring",300,1000,"gaussian",0.5,0.707106781186547,0.5,"exp","normal","strong","strong","exp",0.3,0.9,192
109,"B_covariate_dependent","covariate_dependent_censoring",300,1000,"gaussian",0.5,0.707106781186547,0.5,"exp","binary","moderate","moderate","exp",0.5,0.9,192
110,"B_covariate_dependent","covariate_dependent_censoring",300,1000,"gaussian",0.5,0.707106781186547,0.5,"exp","binary","strong","strong","exp",0.5,0.9,192
111,"B_covariate_dependent","covariate_dependent_censoring",300,1000,"gaussian",0.5,0.707106781186547,0.5,"exp","normal","moderate","moderate","exp",0.5,0.9,192
112,"B_covariate_dependent","covariate_dependent_censoring",300,1000,"gaussian",0.5,0.707106781186547,0.5,"exp","normal","strong","strong","exp",0.5,0.9,192
113,"B_covariate_dependent","covariate_dependent_censoring",500,1000,"gaussian",0.5,0.707106781186547,0.5,"exp","binary","moderate","moderate","exp",0.3,0.9,192
114,"B_covariate_dependent","covariate_dependent_censoring",500,1000,"gaussian",0.5,0.707106781186547,0.5,"exp","binary","strong","strong","exp",0.3,0.9,192
115,"B_covariate_dependent","covariate_dependent_censoring",500,1000,"gaussian",0.5,0.707106781186547,0.5,"exp","normal","moderate","moderate","exp",0.3,0.9,192
116,"B_covariate_dependent","covariate_dependent_censoring",500,1000,"gaussian",0.5,0.707106781186547,0.5,"exp","normal","strong","strong","exp",0.3,0.9,192
117,"B_covariate_dependent","covariate_dependent_censoring",500,1000,"gaussian",0.5,0.707106781186547,0.5,"exp","binary","moderate","moderate","exp",0.5,0.9,192
118,"B_covariate_dependent","covariate_dependent_censoring",500,1000,"gaussian",0.5,0.707106781186547,0.5,"exp","binary","strong","strong","exp",0.5,0.9,192
119,"B_covariate_dependent","covariate_dependent_censoring",500,1000,"gaussian",0.5,0.707106781186547,0.5,"exp","normal","moderate","moderate","exp",0.5,0.9,192
120,"B_covariate_dependent","covariate_dependent_censoring",500,1000,"gaussian",0.5,0.707106781186547,0.5,"exp","normal","strong","strong","exp",0.5,0.9,192
121,"B_covariate_dependent","covariate_dependent_censoring",100,1000,"gaussian",0.75,0.923879532511287,0.75,"exp","binary","moderate","moderate","exp",0.3,0.9,192
122,"B_covariate_dependent","covariate_dependent_censoring",100,1000,"gaussian",0.75,0.923879532511287,0.75,"exp","binary","strong","strong","exp",0.3,0.9,192
123,"B_covariate_dependent","covariate_dependent_censoring",100,1000,"gaussian",0.75,0.923879532511287,0.75,"exp","normal","moderate","moderate","exp",0.3,0.9,192
124,"B_covariate_dependent","covariate_dependent_censoring",100,1000,"gaussian",0.75,0.923879532511287,0.75,"exp","normal","strong","strong","exp",0.3,0.9,192
125,"B_covariate_dependent","covariate_dependent_censoring",100,1000,"gaussian",0.75,0.923879532511287,0.75,"exp","binary","moderate","moderate","exp",0.5,0.9,192
126,"B_covariate_dependent","covariate_dependent_censoring",100,1000,"gaussian",0.75,0.923879532511287,0.75,"exp","binary","strong","strong","exp",0.5,0.9,192
127,"B_covariate_dependent","covariate_dependent_censoring",100,1000,"gaussian",0.75,0.923879532511287,0.75,"exp","normal","moderate","moderate","exp",0.5,0.9,192
128,"B_covariate_dependent","covariate_dependent_censoring",100,1000,"gaussian",0.75,0.923879532511287,0.75,"exp","normal","strong","strong","exp",0.5,0.9,192
129,"B_covariate_dependent","covariate_dependent_censoring",300,1000,"gaussian",0.75,0.923879532511287,0.75,"exp","binary","moderate","moderate","exp",0.3,0.9,192
130,"B_covariate_dependent","covariate_dependent_censoring",300,1000,"gaussian",0.75,0.923879532511287,0.75,"exp","binary","strong","strong","exp",0.3,0.9,192
131,"B_covariate_dependent","covariate_dependent_censoring",300,1000,"gaussian",0.75,0.923879532511287,0.75,"exp","normal","moderate","moderate","exp",0.3,0.9,192
132,"B_covariate_dependent","covariate_dependent_censoring",300,1000,"gaussian",0.75,0.923879532511287,0.75,"exp","normal","strong","strong","exp",0.3,0.9,192
133,"B_covariate_dependent","covariate_dependent_censoring",300,1000,"gaussian",0.75,0.923879532511287,0.75,"exp","binary","moderate","moderate","exp",0.5,0.9,192
134,"B_covariate_dependent","covariate_dependent_censoring",300,1000,"gaussian",0.75,0.923879532511287,0.75,"exp","binary","strong","strong","exp",0.5,0.9,192
135,"B_covariate_dependent","covariate_dependent_censoring",300,1000,"gaussian",0.75,0.923879532511287,0.75,"exp","normal","moderate","moderate","exp",0.5,0.9,192
136,"B_covariate_dependent","covariate_dependent_censoring",300,1000,"gaussian",0.75,0.923879532511287,0.75,"exp","normal","strong","strong","exp",0.5,0.9,192
137,"B_covariate_dependent","covariate_dependent_censoring",500,1000,"gaussian",0.75,0.923879532511287,0.75,"exp","binary","moderate","moderate","exp",0.3,0.9,192
138,"B_covariate_dependent","covariate_dependent_censoring",500,1000,"gaussian",0.75,0.923879532511287,0.75,"exp","binary","strong","strong","exp",0.3,0.9,192
139,"B_covariate_dependent","covariate_dependent_censoring",500,1000,"gaussian",0.75,0.923879532511287,0.75,"exp","normal","moderate","moderate","exp",0.3,0.9,192
140,"B_covariate_dependent","covariate_dependent_censoring",500,1000,"gaussian",0.75,0.923879532511287,0.75,"exp","normal","strong","strong","exp",0.3,0.9,192
141,"B_covariate_dependent","covariate_dependent_censoring",500,1000,"gaussian",0.75,0.923879532511287,0.75,"exp","binary","moderate","moderate","exp",0.5,0.9,192
142,"B_covariate_dependent","covariate_dependent_censoring",500,1000,"gaussian",0.75,0.923879532511287,0.75,"exp","binary","strong","strong","exp",0.5,0.9,192
143,"B_covariate_dependent","covariate_dependent_censoring",500,1000,"gaussian",0.75,0.923879532511287,0.75,"exp","normal","moderate","moderate","exp",0.5,0.9,192
144,"B_covariate_dependent","covariate_dependent_censoring",500,1000,"gaussian",0.75,0.923879532511287,0.75,"exp","normal","strong","strong","exp",0.5,0.9,192
145,"C_nonlinear_observability","nonlinear_covariate_dependent_censoring",100,1000,"gaussian",-0.5,-0.707106781186547,-0.5,"exp","normal","nonlinear","nonlinear_moderate","weibull_nonlinear",0.3,0.9,192
146,"C_nonlinear_observability","nonlinear_covariate_dependent_censoring",100,1000,"gaussian",-0.5,-0.707106781186547,-0.5,"exp","normal","nonlinear","nonlinear_strong","weibull_nonlinear",0.3,0.9,192
147,"C_nonlinear_observability","nonlinear_covariate_dependent_censoring",100,1000,"gaussian",-0.5,-0.707106781186547,-0.5,"exp","normal","nonlinear","nonlinear_moderate","weibull_nonlinear",0.5,0.9,192
148,"C_nonlinear_observability","nonlinear_covariate_dependent_censoring",100,1000,"gaussian",-0.5,-0.707106781186547,-0.5,"exp","normal","nonlinear","nonlinear_strong","weibull_nonlinear",0.5,0.9,192
149,"C_nonlinear_observability","nonlinear_covariate_dependent_censoring",300,1000,"gaussian",-0.5,-0.707106781186547,-0.5,"exp","normal","nonlinear","nonlinear_moderate","weibull_nonlinear",0.3,0.9,192
150,"C_nonlinear_observability","nonlinear_covariate_dependent_censoring",300,1000,"gaussian",-0.5,-0.707106781186547,-0.5,"exp","normal","nonlinear","nonlinear_strong","weibull_nonlinear",0.3,0.9,192
151,"C_nonlinear_observability","nonlinear_covariate_dependent_censoring",300,1000,"gaussian",-0.5,-0.707106781186547,-0.5,"exp","normal","nonlinear","nonlinear_moderate","weibull_nonlinear",0.5,0.9,192
152,"C_nonlinear_observability","nonlinear_covariate_dependent_censoring",300,1000,"gaussian",-0.5,-0.707106781186547,-0.5,"exp","normal","nonlinear","nonlinear_strong","weibull_nonlinear",0.5,0.9,192
153,"C_nonlinear_observability","nonlinear_covariate_dependent_censoring",500,1000,"gaussian",-0.5,-0.707106781186547,-0.5,"exp","normal","nonlinear","nonlinear_moderate","weibull_nonlinear",0.3,0.9,192
154,"C_nonlinear_observability","nonlinear_covariate_dependent_censoring",500,1000,"gaussian",-0.5,-0.707106781186547,-0.5,"exp","normal","nonlinear","nonlinear_strong","weibull_nonlinear",0.3,0.9,192
155,"C_nonlinear_observability","nonlinear_covariate_dependent_censoring",500,1000,"gaussian",-0.5,-0.707106781186547,-0.5,"exp","normal","nonlinear","nonlinear_moderate","weibull_nonlinear",0.5,0.9,192
156,"C_nonlinear_observability","nonlinear_covariate_dependent_censoring",500,1000,"gaussian",-0.5,-0.707106781186547,-0.5,"exp","normal","nonlinear","nonlinear_strong","weibull_nonlinear",0.5,0.9,192
157,"C_nonlinear_observability","nonlinear_covariate_dependent_censoring",100,1000,"gaussian",0,0,0,"exp","normal","nonlinear","nonlinear_moderate","weibull_nonlinear",0.3,0.9,192
158,"C_nonlinear_observability","nonlinear_covariate_dependent_censoring",100,1000,"gaussian",0,0,0,"exp","normal","nonlinear","nonlinear_strong","weibull_nonlinear",0.3,0.9,192
