"scenario_id","block","n","x_type","cov_effect","target_censor2","H_quantile","tau_design","tau_H_true","method","n_boot_datasets","coverage","mean_width","median_width","mean_point","bias","mse","mean_n_boot_valid"
86,"B_covariate_dependent",300,"binary","strong",0.5,0.9,0,-0.0871414488898048,"scap_x_l075",120,0.958333333333333,0.22379702709139,0.220685336222429,-0.0788158761091302,0.00832557278067456,0.00245972232545826,250
110,"B_covariate_dependent",300,"binary","strong",0.5,0.9,0.5,0.32451072345586,"scap_x_l075",120,0.975,0.193185163079674,0.192370110998507,0.319273700371987,-0.00523702308387287,0.00202176734661376,250
163,"C_nonlinear_observability",300,"normal","nonlinear",0.5,0.9,0,-0.0306169160503,"scap_x_l075",120,0.958333333333333,0.235577977171143,0.231733520380314,-0.0416135359237663,-0.0109966198734663,0.00312939950212393,250
175,"C_nonlinear_observability",300,"normal","nonlinear",0.5,0.9,0.5,0.435372693085659,"scap_x_l075",120,0.95,0.178469419986114,0.177531119113484,0.411545305367126,-0.0238273877185334,0.00198015400933733,250
20,"A_independent",300,"binary","moderate",0.5,0.9,0,-0.0720629829638826,"trad",120,0.933333333333333,0.238515760726312,0.235424644849092,-0.079593001929144,-0.00753001896526139,0.00343275853026605,250
32,"A_independent",300,"binary","moderate",0.5,0.9,0.5,0.382291402962104,"trad",120,0.95,0.193105019101744,0.192175728851305,0.379946567962217,-0.00234483499988709,0.00244526441667375,250
86,"B_covariate_dependent",300,"binary","strong",0.5,0.9,0,-0.0871414488898048,"trad",120,0.933333333333333,0.233496758250396,0.23253818523163,-0.0778323448999097,0.00930910398989508,0.00345657489589435,250
110,"B_covariate_dependent",300,"binary","strong",0.5,0.9,0.5,0.32451072345586,"trad",120,0.933333333333333,0.19844891033542,0.196974733786488,0.344562510776234,0.0200517873203737,0.00287587144116768,250
163,"C_nonlinear_observability",300,"normal","nonlinear",0.5,0.9,0,-0.0306169160503,"trad",120,0.933333333333333,0.242616180872038,0.239695828352146,-0.0428418077801664,-0.0122248917298664,0.00369216526688679,250
175,"C_nonlinear_observability",300,"normal","nonlinear",0.5,0.9,0.5,0.435372693085659,"trad",120,0.966666666666667,0.181695436557411,0.176173096821801,0.43392510340976,-0.00144758967589889,0.00173403361693434,250
