"scenario_id","block","mse_new","width_new","coverage_new","mse_ref","width_ref","coverage_ref","method_new","method_ref","mse_reduction","rel_mse","width_reduction"
164,"C_nonlinear_observability",0.0147611919918014,0.432952325481696,0.993333333333333,0.00405525153334427,0.230323105882978,0.916666666666667,"gscap_x_l050","trad",-0.0107059404584571,3.64001884234002,-0.202629219598718
175,"C_nonlinear_observability",0.00897660199984434,0.332922695964848,0.973333333333333,0.00192097734432707,0.184370560528898,0.966666666666667,"gscap_x_l050","trad",-0.00705562465551727,4.67293486118073,-0.14855213543595
176,"C_nonlinear_observability",0.0113204849734998,0.340614899483215,0.986666666666667,0.002171385995823,0.177261940779896,0.916666666666667,"gscap_x_l050","trad",-0.0091490989776768,5.21348345953991,-0.163352958703319
20,"A_independent",0.00451182974665432,0.284794911277945,0.986666666666667,0.00327337319157944,0.238577100922591,0.953333333333333,"gscap_x_l050","trad",-0.00123845655507488,1.37834260947109,-0.046217810355354
32,"A_independent",0.0035294105171594,0.237540452169798,0.966666666666667,0.00238780859521447,0.198066539021277,0.95,"gscap_x_l050","trad",-0.00114160192194493,1.47809607697739,-0.039473913148521
86,"B_covariate_dependent",0.0114086498733032,0.334205830032744,0.953333333333333,0.00376674439911803,0.23287437013721,0.94,"gscap_x_l050","trad",-0.00764190547418517,3.02878259432057,-0.101331459895534
110,"B_covariate_dependent",0.00997849061032164,0.304560079305477,0.876666666666667,0.0033099300339003,0.203823198427471,0.923333333333333,"gscap_x_l100","trad",-0.00666856057642134,3.01471345560841,-0.100736880878006
163,"C_nonlinear_observability",0.0176524731316906,0.455060254099108,0.986666666666667,0.00398544413106451,0.244735123687231,0.95,"gscap_x_l100","trad",-0.0136670290006261,4.42923612806376,-0.210325130411877
164,"C_nonlinear_observability",0.0161669475524766,0.456889127738569,0.993333333333333,0.00405525153334427,0.230323105882978,0.916666666666667,"gscap_x_l100","trad",-0.0121116960191323,3.98666948758764,-0.226566021855591
175,"C_nonlinear_observability",0.0119798103253693,0.383857217945183,0.97,0.00192097734432707,0.184370560528898,0.966666666666667,"gscap_x_l100","trad",-0.0100588329810422,6.23631005370649,-0.199486657416285
176,"C_nonlinear_observability",0.0168252073233688,0.389000936721609,0.973333333333333,0.002171385995823,0.177261940779896,0.916666666666667,"gscap_x_l100","trad",-0.0146538213275458,7.7486026693249,-0.211738995941713
20,"A_independent",0.00341265520754984,0.294146834623129,0.99,0.00327337319157944,0.238577100922591,0.953333333333333,"gscap_x_l100","trad",-0.0001392820159704,1.04254999592735,-0.055569733700538
32,"A_independent",0.00491847156467934,0.259509419751449,0.956666666666667,0.00238780859521447,0.198066539021277,0.95,"gscap_x_l100","trad",-0.00253066296946487,2.05982656002525,-0.061442880730172
86,"B_covariate_dependent",0.0106736547867787,0.343248340911202,0.956666666666667,0.00376674439911803,0.23287437013721,0.94,"gscap_x_l100","trad",-0.00690691038766067,2.83365518225179,-0.110373970773992
110,"B_covariate_dependent",0.00817214373432665,0.277163881375423,0.93,0.00248931286020017,0.197433882444063,0.96,"gscap_x_l050","scap_x_l050",-0.00568283087412648,3.28289138138688,-0.07972999893136
163,"C_nonlinear_observability",0.0182365823642969,0.430800527907514,0.986666666666667,0.00345653461529681,0.237141169993127,0.956666666666667,"gscap_x_l050","scap_x_l050",-0.0147800477490001,5.27597272817444,-0.193659357914387
164,"C_nonlinear_observability",0.0147611919918014,0.432952325481696,0.993333333333333,0.00367676570936711,0.226040406816202,0.933333333333333,"gscap_x_l050","scap_x_l050",-0.0110844262824343,4.01472194820438,-0.206911918665494
175,"C_nonlinear_observability",0.00897660199984434,0.332922695964848,0.973333333333333,0.00194348851869098,0.179896660763588,0.97,"gscap_x_l050","scap_x_l050",-0.00703311348115336,4.61880886535437,-0.15302603520126
176,"C_nonlinear_observability",0.0113204849734998,0.340614899483215,0.986666666666667,0.00206790532420893,0.175302660402467,0.95,"gscap_x_l050","scap_x_l050",-0.00925257964929087,5.47437295168743,-0.165312239080748
20,"A_independent",0.00451182974665432,0.284794911277945,0.986666666666667,0.00240874340315176,0.228879092601448,0.966666666666667,"gscap_x_l050","scap_x_l050",-0.00210308634350256,1.87310518038191,-0.055915818676497
32,"A_independent",0.0035294105171594,0.237540452169798,0.966666666666667,0.00256900306481917,0.190856015333547,0.946666666666667,"gscap_x_l050","scap_x_l050",-0.00096040745234023,1.37384441672818,-0.046684436836251
86,"B_covariate_dependent",0.0114086498733032,0.334205830032744,0.953333333333333,0.00313186493303005,0.225949097889073,0.946666666666667,"gscap_x_l050","scap_x_l050",-0.00827678494027315,3.64276561003077,-0.108256732143671
110,"B_covariate_dependent",0.00997849061032164,0.304560079305477,0.876666666666667,0.00248931286020017,0.197433882444063,0.96,"gscap_x_l100","scap_x_l050",-0.00748917775012147,4.00853214148392,-0.107126196861414
163,"C_nonlinear_observability",0.0176524731316906,0.455060254099108,0.986666666666667,0.00345653461529681,0.237141169993127,0.956666666666667,"gscap_x_l100","scap_x_l050",-0.0141959385163938,5.10698578095241,-0.217919084105981
