"block","method_new","method_ref","n_scenarios","mse_reduction_mean","mse_reduction_median","mse_reduction_prop_positive","rel_mse_mean","rel_mse_median","rel_mse_prop_less_than_1","width_reduction_mean","coverage_new_mean","coverage_ref_mean"
"B_covariate_dependent","ps_marg_logit","trad",2,0.000930078547638967,0.000930078547638967,1,0.736931800575149,0.736931800575149,1,0.0223262331633516,0.946666666666667,0.931666666666667
"B_covariate_dependent","ps_x_logit","ipcw_marg",2,0.000881430253639233,0.000881430253639233,1,0.749714835674798,0.749714835674798,1,0.0211253580304105,0.95,0.935
"B_covariate_dependent","ps_x_logit","trad",2,0.000880347741599658,0.000880347741599658,1,0.749952602739778,0.749952602739778,1,0.0214865130087178,0.95,0.931666666666667
"B_covariate_dependent","scap_x_l050","ipcw_marg",2,0.000728830831933633,0.000728830831933633,1,0.791517377993841,0.791517377993841,1,0.00629613913746555,0.953333333333333,0.935
"B_covariate_dependent","scap_x_l050","trad",2,0.000727748319894058,0.000727748319894058,1,0.791762785396967,0.791762785396967,1,0.00665729411577284,0.953333333333333,0.931666666666667
"B_covariate_dependent","scap_x_l075","ipcw_marg",2,0.000901598579439064,0.000901598579439064,1,0.743543189807198,0.743543189807198,1,0.00720103888059201,0.953333333333333,0.935
"B_covariate_dependent","scap_x_l075","trad",2,0.000900516067399489,0.000900516067399489,1,0.743776811484697,0.743776811484697,1,0.00756219385889931,0.953333333333333,0.931666666666667
"B_covariate_dependent","trad","ipcw_marg",2,1.08251203957493e-06,1.08251203957493e-06,1,0.99967548849938,0.99967548849938,1,-0.000361154978307299,0.931666666666667,0.935
"C_nonlinear_observability","gscap_x_l050","ipcw_marg",4,-0.0102905040113548,-0.00992753052787434,0,4.52561644497388,4.62458522158768,0,-0.175177634650542,0.985,0.940833333333333
"C_nonlinear_observability","gscap_x_l050","trad",4,-0.0102904505812209,-0.00992751971806695,0,4.52555848215841,4.62436581337687,0,-0.175149929489568,0.985,0.9375
"C_nonlinear_observability","gscap_x_l100","ipcw_marg",4,-0.0126228982622206,-0.0128894597197959,0,5.60025664167494,5.33306123121831,0,-0.212056906567341,0.980833333333333,0.940833333333333
"C_nonlinear_observability","gscap_x_l100","trad",4,-0.0126228448320866,-0.0128893625098792,0,5.60020458467071,5.33277309088514,0,-0.212029201406367,0.980833333333333,0.9375
"C_nonlinear_observability","ipcw_marg","trad",4,5.34301339584747e-08,9.60504605233403e-08,0.75,0.999983218337784,0.999975980679859,0.75,2.77051609745005e-05,0.940833333333333,0.9375
"C_nonlinear_observability","ipcw_x","ipcw_marg",4,-0.0128785658859411,-0.0128787391276066,0,5.17879272399149,5.10534157712524,0,-0.176267707292783,0.985,0.940833333333333
"C_nonlinear_observability","ipcw_x","trad",4,-0.0128785124558072,-0.0128787283177992,0,5.17870535767424,5.10501030948764,0,-0.176240002131809,0.985,0.9375
"C_nonlinear_observability","ps_marg_logit","ipcw_marg",4,1.46653647411732e-05,0.000165859829730878,0.5,1.07783210227194,0.991375956353287,0.5,0.0131217619615787,0.933333333333333,0.940833333333333
"C_nonlinear_observability","ps_marg_logit","trad",4,1.47187948751316e-05,0.000165870639538272,0.5,1.07780853083181,0.991397536774142,0.5,0.0131494671225532,0.933333333333333,0.9375
"C_nonlinear_observability","ps_x_logit","ipcw_marg",4,3.65479287916786e-05,0.000100888839323253,0.5,1.06192266108524,1.01089982592702,0.5,0.0123114424490076,0.936666666666667,0.940833333333333
"C_nonlinear_observability","ps_x_logit","trad",4,3.6601358925637e-05,0.000100899649130647,0.5,1.0619011639941,1.0109214202373,0.5,0.0123391476099821,0.936666666666667,0.9375
"C_nonlinear_observability","scap_x_l050","ipcw_marg",4,0.000247037779114797,0.000240972437988223,0.75,0.934521575437993,0.929491842727197,0.75,0.00454975306492993,0.9525,0.940833333333333
"C_nonlinear_observability","scap_x_l050","trad",4,0.000247091209248755,0.000240983247795616,0.75,0.934504880572847,0.929505612437407,0.75,0.00457745822590443,0.9525,0.9375
"C_nonlinear_observability","scap_x_l075","ipcw_marg",4,0.000196630151062338,0.000233713178327082,0.5,0.975065953779468,0.944170890093157,0.5,0.00453338690468249,0.946666666666667,0.940833333333333
"C_nonlinear_observability","scap_x_l075","trad",4,0.000196683581196296,0.000233723988134475,0.5,0.975046879505296,0.944187139301448,0.5,0.00456109206565699,0.946666666666667,0.9375
"C_nonlinear_observability","trad","ipcw_marg",4,-5.34301339584747e-08,-9.60504605233403e-08,0.25,1.00001678527897,1.00002402023743,0.25,-2.77051609745005e-05,0.9375,0.940833333333333
