"scenario_id","block","method_new","method_ref","mse_new","mse_ref","mse_reduction","rel_mse","width_new","width_ref","width_reduction","coverage_new","coverage_ref"
86,"B_covariate_dependent","trad","ipcw_marg",0.00376674439911803,0.00376687259377072,1.28194652682274e-07,0.999965967881979,0.23287437013721,0.233373397528046,0.000499027390835821,0.94,0.94
110,"B_covariate_dependent","ipcw_marg","trad",0.00331196686332677,0.0033099300339003,-2.03682942646758e-06,1.00061536932975,0.202601861080021,0.203823198427471,0.00122133734745042,0.93,0.923333333333333
110,"B_covariate_dependent","ipcw_x","trad",0.00896446395262302,0.0033099300339003,-0.00565453391872272,2.70835451529458,0.271599202636709,0.203823198427471,-0.067776004209238,0.936666666666667,0.923333333333333
110,"B_covariate_dependent","ps_marg_logit","trad",0.00239695565549697,0.0033099300339003,0.00091297437840333,0.724171094538964,0.189248073220045,0.203823198427471,0.0145751252074262,0.94,0.923333333333333
110,"B_covariate_dependent","ps_x_logit","trad",0.00248750412289767,0.0033099300339003,0.000822425911002629,0.75152770524472,0.189550694913296,0.203823198427471,0.0142725035141752,0.953333333333333,0.923333333333333
110,"B_covariate_dependent","scap_x_l050","trad",0.0024918207647386,0.0033099300339003,0.0008181092691617,0.752831854213646,0.19715593098716,0.203823198427471,0.00666726744031182,0.94,0.923333333333333
110,"B_covariate_dependent","scap_x_l075","trad",0.00238133596122696,0.0033099300339003,0.000928594072673337,0.719452053921781,0.196722385970625,0.203823198427471,0.00710081245684674,0.96,0.923333333333333
110,"B_covariate_dependent","ipcw_x","ipcw_marg",0.00896446395262302,0.00331196686332677,-0.00565249708929625,2.70668890195915,0.271599202636709,0.202601861080021,-0.0689973415566885,0.936666666666667,0.93
110,"B_covariate_dependent","ps_marg_logit","ipcw_marg",0.00239695565549697,0.00331196686332677,0.000915011207829798,0.723725735917932,0.189248073220045,0.202601861080021,0.0133537878599758,0.94,0.93
110,"B_covariate_dependent","ps_x_logit","ipcw_marg",0.00248750412289767,0.00331196686332677,0.000824462740429096,0.751065522557508,0.189550694913296,0.202601861080021,0.0130511661667248,0.953333333333333,0.93
110,"B_covariate_dependent","scap_x_l050","ipcw_marg",0.0024918207647386,0.00331196686332677,0.000820146098588167,0.752368869486708,0.19715593098716,0.202601861080021,0.0054459300928614,0.94,0.93
110,"B_covariate_dependent","scap_x_l075","ipcw_marg",0.00238133596122696,0.00331196686332677,0.000930630902099805,0.719009597467707,0.196722385970625,0.202601861080021,0.00587947510939632,0.96,0.93
110,"B_covariate_dependent","trad","ipcw_marg",0.0033099300339003,0.00331196686332677,2.03682942646758e-06,0.999385009116782,0.203823198427471,0.202601861080021,-0.00122133734745042,0.923333333333333,0.93
163,"C_nonlinear_observability","ipcw_marg","trad",0.00398542192591278,0.00398544413106451,2.22051517260319e-08,0.999994428437335,0.243570026734016,0.244735123687231,0.00116509695321534,0.953333333333333,0.95
163,"C_nonlinear_observability","ipcw_x","trad",0.0220990440012577,0.00398544413106451,-0.0181135998701932,5.54493885110744,0.449673109470785,0.244735123687231,-0.204937985783554,0.973333333333333,0.95
163,"C_nonlinear_observability","ps_marg_logit","trad",0.00329452225146132,0.00398544413106451,0.000690921879603189,0.826638673913955,0.219054100024751,0.244735123687231,0.0256810236624801,0.94,0.95
163,"C_nonlinear_observability","ps_x_logit","trad",0.00324214560066243,0.00398544413106451,0.000743298530402077,0.813496687957951,0.221273788218246,0.244735123687231,0.0234613354689855,0.943333333333333,0.95
163,"C_nonlinear_observability","scap_x_l050","trad",0.00346568855854103,0.00398544413106451,0.000519755572523479,0.869586536548775,0.237160233288805,0.244735123687231,0.00757489039842654,0.953333333333333,0.95
163,"C_nonlinear_observability","scap_x_l075","trad",0.00330622135760127,0.00398544413106451,0.000679222773463231,0.829574132486506,0.235750174098158,0.244735123687231,0.00898494958907306,0.963333333333333,0.95
